commune,superficie_production_ha,volume_production_hl,rendement_moyen_hl_ha
Ammerschwihr,48.6021,2184.11,45.0
Andlau,15.407,670.6,42.666666666666664
Barr,22.4775,973.64,41.5
Beblenheim,17.8489,894.41,50.0
Bennwihr,10.7678,548.8,51.0
Bergbieten,16.3136,809.1,50.0
Bergheim,22.8951,1003.6700000000001,42.0
Bergholtz,10.1269,551.63,54.0
Blienschwiller,8.0682,392.26,49.0
Dahlenheim,3.7409,174.23,47.0
Dambach-la-Ville,21.7958,1042.76,48.0
Eguisheim,52.770399999999995,2389.99,41.666666666666664
Gueberschwihr,13.6653,498.29,36.0
Guebwiller,11.683,591.3499999999999,51.0
Hattstatt,16.5664,844.23,51.0
Hunawihr,16.8084,854.61,51.0
Ingersheim,9.5626,392.89,41.0
Kientzheim,65.9551,2227.14,36.75
Kintzheim,8.8455,433.05,49.0
Marlenheim,3.8166,182.57,48.0
Mittelbergheim,9.5926,446.37,47.0
Mittelwihr,9.9015,420.22,42.0
Molsheim,5.7206,192.08,34.0
Niedermorschwihr,15.0974,457.82,30.0
Nothalten,12.8837,624.28,48.0
Orschwihr,9.496,441.75,47.0
Pfaffenheim,9.1596,420.21,46.0
Ribeauvillé,13.8724,484.99,31.666666666666668
Riquewihr,41.573699999999995,1887.45,46.0
Rodern,6.3097,304.92,48.0
Rouffach,13.9514,588.66,42.0
Sigolsheim,21.6235,1032.3,48.0
Thann,15.899,568.92,36.0
Turckheim,27.375,1127.25,41.0
Wettolsheim,12.1468,590.04,49.0
Wintzenheim,27.3418,1144.07,38.333333333333336
Wolxheim,11.3567,546.17,48.0
Wuenheim,21.5148,1113.24,52.0
Zellenberg,6.0497,304.05,50.0
