code_dep,pente,altitude,exposition,nb_parcelles,surface_ha
01,5.272177966101696,281.01949152542375,179.0182483023187,1180.0,424629.25174918177
03,2.136486356519983,272.5466573569605,123.45071868510318,3165.0,995062.3048848461
04,5.35049266678532,407.5152920985054,183.35849325978967,1869.0,3482414.4049779167
07,4.121515047242599,133.11603713581195,139.93881291618376,3461.0,3457996.5116827795
10,4.665689655172414,216.93103448275863,331.4123779816244,58.0,12100.87267004245
11,3.335508902786892,103.4059196873772,140.2655112982326,43508.0,51914955.95882353
12,11.271687150837991,568.5284916201119,190.42390717889643,895.0,407580.64605132525
13,0.40817248706409126,14.714663425141651,285.13677890549616,13867.0,400190541.0239855
15,14.509118541033436,584.0972644376899,176.2477186986628,329.0,149825.7346937274
17,3.7391032871793657,61.48469916028333,211.89389600172834,1551.0,639101.0348580652
18,5.495945721932876,242.47198674118462,140.12123748492016,5183.0,3935817.498435417
21,4.3924127497726655,288.1801242403518,138.82720069070925,5354.0,3726794.800071263
24,3.376140300768732,106.65939107267486,207.82884914129812,11626.0,10224340.989094004
26,2.786499291147388,202.3645064223273,214.4784004592947,15097.0,32623296.06858391
2A,7.305571934734949,114.84938433812599,193.1387436323445,4951.0,9123940.776248567
2B,3.2062343806083105,56.678977370818075,149.8590051482923,2574.0,3860156.1739090728
30,0.9218326168698875,28.92808898120201,212.62506084208354,23539.0,111101084.82662034
31,1.2558877471171346,139.7920051718737,55.69537392902516,3337.0,8045900.957727643
32,5.131305736771664,154.2920751936011,189.80687662062195,7651.0,5752087.241514157
33,2.391535971775549,49.97260276171451,211.64944178119262,58769.0,56026742.078236744
34,4.608315005173359,123.30887649674382,157.45434627908455,46768.0,51948338.73224405
36,2.2229180623856655,110.59672633545755,137.6988676874446,2254.0,1153633.6221583856
37,1.6385066537566837,69.59922762884086,200.9074422537629,10315.0,5715622.189418369
38,1.4916185897435896,157.56089743589743,238.22316364491024,624.0,0.0624
39,4.564789213018311,297.7883264716535,241.93969611719177,4472.0,2715637.574713106
40,3.6328240571219337,113.61634932259246,180.5774872432467,10924.0,1.0924
41,1.7207159394879732,101.87598218685142,249.43209923808706,11375.0,7191030.633990494
42,5.746390476190475,455.8885714285714,101.28997686878061,6300.0,0.63
44,1.640254198830533,43.876931576635755,234.01059900081245,8150.0,9004128.839635322
45,0.9877733154841586,117.39357429718875,295.4667880950124,2241.0,0.2241
46,4.080207176390107,155.46908891623275,236.2438132983204,5584.0,5603658.253967627
47,3.754878264462345,85.14596659356863,191.3520662577852,14302.0,11930490.971285379
49,1.962557892393096,72.11629061947481,158.2712346832518,29380.0,44258318.19634608
58,3.1569662921348307,200.79101123595498,266.0758740660114,890.0,686202.5889680948
63,4.731179801793298,411.70835299669653,336.97147790520984,2119.0,240487.23030351152
64,5.89953122998835,210.08209092755803,129.99619507675038,5496.0,2273689.3857254297
65,4.833736017897091,179.12416107382543,135.94724773122988,894.0,401925.37854047015
66,4.327231462153279,111.68191929984586,130.6320374308939,19759.0,24366133.228720866
67,3.662384591203768,212.9619914248691,103.54613456126359,18971.0,8085355.934318184
68,3.9262104894326155,237.07982167356653,98.79146332194311,12664.0,5721275.867033863
69,7.594900112311439,347.41375381009374,136.3054738840373,21573.0,21304057.65202523
71,5.173999161152001,286.53809045142884,150.79065321710388,10901.0,3586745.185832767
72,2.4060691144708417,81.59719222462202,244.68349965478737,926.0,224753.98465069899
73,7.045094930514778,368.302407516148,193.37232464192883,5109.0,0.5109
74,6.0356742946012,523.2243945789825,240.33260708432556,4501.0,0.4501
79,0.8520584933030917,51.30027569388458,27.216851853498213,462.0,58750.579462412265
81,3.3317020226978387,191.5862953321,170.6223159736225,10413.0,12873507.888258854
82,3.0977389142222154,144.88674085976058,91.06229374069292,5189.0,5595040.076178454
83,3.595784309298063,150.37079584305624,162.25257935252517,11928.0,24244344.96131583
84,3.809269807615286,235.15147681175972,225.17820336677138,43722.0,111011139.87949316
85,2.138861284852215,49.355904256173176,190.81245663690058,3178.0,660875.9686590915
86,1.8098873757166571,72.00377452972646,205.73222011852891,2945.0,577469.0370593192
89,5.945634995302861,203.14199829176903,205.33755460797988,8841.0,6679174.485785811
